Sample;Density;ModulusOfElasticity;PoissonsRatio
Arlon Electronic Materials 45NK Woven Kevlar Reinforced Laminate and Prepreg;1.5;27.6;0.2
Bond Laminates TEPEX dynalite 102-RG600(x)/47% Roving Glass – PA 6 Consolidated Composite Laminate;1.8;21.95;0.17
CRP Technology Windform RS Carbon Fiber Reinforced Composite for SLS/PBF;1.1;4.65;0.3
Solvay CYCOM 759F Epoxy - 2X2 Twill Fabric Reinforced Prepreg;1.23;59.5;0.52
Uniseal BETABRACE™ 85001 Epoxy;0.752;1.47;0.11
Uniseal BETABRACE™ 85002 Epoxy;0.752;1.47;0.11
ITW Densit Ducorit S8 Grout;2.27;34.9;0.2
ITW Densit Ducorit D4 Grout;2.74;78.45;0.19
ITW Densit Ducorit S5 Grout;2.24;57.6;0.19
ITW Densit Ducorit S5R Grout;2.38;57.6;0.19
ITW Densit Ducorit S2 Grout;2.35;47.45;0.18
ITW Densit Ducorit S1 Grout;2.25;35.75;0.19
Park Aerospace Nelco N8000 Cyanate Ester Epoxy Laminate and Prepreg;1.73;20.7;0.14
Park Aerospace Nelco N8000Q Cyanate Ester Epoxy Laminate and Prepreg;1.73;16.9;0.16
Park Aerospace Nelco N4000-12 High Speed/Low Loss, CAF Resistant Laminate and Prepreg;1.9;25.85;0.15
Park Aerospace Nelco N4000-13 High-Speed Multifunctional Epoxy Laminate and Prepreg;1.91;25.9;0.12
Park Aerospace Nelco N4000-13 SI High-Speed Multifunctional Epoxy Laminate and Prepreg;1.79;16.2;0.17
Park Aerospace Nelco N4000-2 Multifunctional Epoxy Laminate and Prepreg;1.92;26.2;0.15
Park Aerospace Nelco N4000-6 FC Multifunctional Epoxy Laminate and Prepreg;1.92;27.9;0.15
Park Aerospace Nelco N4000-7 FR-4 Epoxy Laminate and Prepreg;1.97;21.7;0.12
Park Aerospace Nelco N4000-29 Multifunctional Epoxy;1.99;22.4;0.17
Park Aerospace Nelco N5000 BT Epoxy Laminate and Prepreg;1.77;30.35;0.15
Park Aerospace Nelco N7000-1 Polyimide Laminate and Prepreg;1.68;26.9;0.12
Park Aerospace Nelco N7000-2 HT/N7000-3 Toughened Polyimide Laminate and Prepreg;1.7;22.1;0.15
Park Aerospace Nelco N7000-2 V0 Toughened Polyimide Laminate and Prepreg;1.93;28.6;0.17
Toray 2510 Prepreg Laminate with FGF7781-07I Fiber;1.8;23.15;0.14
Cerium, Ce;6.7;41.4;0.248
Dysprosium, Dy;8.54;61.4;0.237
Erbium, Er;9.05;69.9;0.237
Holmium, Ho;8.8;64.8;0.231
Thulium, Tm;9.33;74.0;0.213
